filter,sparse_input,beta_scaling,beta,dim,mse
BlockSF,false,true,0.05,32,0.512037427885136
DiagSF,false,false,0.1,256,NaN
BlockSF,false,false,0.1,64,0.35609025877990835
FullSF,false,false,0.1,32,0.37059535737935945
DiagSF,false,true,0.025,128,0.8977833853016386
FullSF,false,true,0.05,32,0.48465927720561314
BlockSF,false,true,0.035355339059327376,64,0.683068167574611
DiagSF,false,true,0.017677669529663688,256,3.239176047823368e89
BlockSF,false,false,0.1,128,0.3786599958968492
DiagSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,64,0.2808024195180393
BlockSF,false,true,0.025,128,0.7575283890374918
FullSF,false,true,0.035355339059327376,64,0.6354810066281691
DiagSF,false,false,0.1,1024,NaN
BlockSF,false,false,0.1,256,Inf
DiagSF,false,true,0.0125,512,8.053252533775693e30
FullSF,false,false,0.1,128,0.23094921233644558
BlockSF,false,true,0.017677669529663688,256,0.9044697296517115
DiagSF,false,true,0.008838834764831844,1024,1.3910913009474446e61
FullSF,false,true,0.025,128,0.7807674858258994
BlockSF,false,false,0.1,512,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,false,0.1,1024,NaN
BlockSF,false,true,0.008838834764831844,1024,NaN
FullSF,false,true,0.017677669529663688,256,0.8521488706036908
DiagSF,false,false,0.1,8,0.2673568542444903
DiagSF,false,false,0.1,16,0.3598443191767774
DiagSF,false,true,0.1,8,0.3432181879539642
DiagSF,false,false,0.1,32,0.40118187169216185
BlockSF,false,false,0.1,8,0.218376714126147
DiagSF,false,true,0.07071067811865475,16,0.4562524944713979
BlockSF,false,true,0.1,8,0.17017474513381872
DiagSF,false,false,0.1,64,0.493930751178923
BlockSF,false,false,0.1,16,0.254648509796639
FullSF,false,false,0.1,8,0.22645626859997414
DiagSF,false,true,0.05,32,0.6812088299303967
FullSF,false,true,0.1,8,0.17869429272081397
BlockSF,false,true,0.07071067811865475,16,0.34408785876792597
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.7539818562471495
FullSF,false,false,0.1,16,0.19359260836218806
BlockSF,false,false,0.1,32,0.27756670471846956
FullSF,false,true,0.07071067811865475,16,0.3593611146227005
BlockSF,false,true,0.05,32,0.5887623487636295
DiagSF,false,false,0.1,256,NaN
BlockSF,false,false,0.1,64,0.36962638324476266
DiagSF,false,true,0.025,128,0.9197067698118908
FullSF,false,false,0.1,32,0.30965220222464357
FullSF,false,true,0.05,32,0.47330202438461677
BlockSF,false,true,0.035355339059327376,64,0.6563605100913561
DiagSF,false,true,0.017677669529663688,256,0.9978073953258602
BlockSF,false,false,0.1,128,NaN
DiagSF,false,false,0.1,512,NaN
